Player,Team_x,Season,Position_x,Minutes,Goals Added,Base Salary,Guaranteed Compensation
Johnny Russell,SKC,2018,W,2382,8.07,"$1,331,579","$1,331,579"
Latif Blessing,LAFC,2019,CM,2964,8.05,"$93,750","$110,417"
Sebastián Blanco,POR,2017,W,2999,8.02,"$1,000,008","$1,075,008"
Bradley Wright-Phillips,NYRB,2015,ST,3043,7.93,"$600,000","$660,000"
Diego Valeri,POR,2018,AM,3004,7.91,"$2,320,000","$2,380,000"
Lloyd Sam,NYRB,2014,W,3051,7.91,"$136,500","$136,500"
Ignacio Piatti,MTL,2018,W,3045,7.87,"$500,000","$4,713,333"
Dominic Oduro,CLB,2013,W,3029,7.7,"$120,015","$122,015"
David Villa,NYC,2017,ST,2745,7.69,"$5,610,000","$5,610,000"
Fabian Castillo,FCD,2014,W,2473,7.68,"$70,000","$76,250"
Jordan Morris,SEA,2016,ST,3042,7.66,"$178,000","$190,500"
Eduard Atuesta,LAFC,2019,DM,2879,7.62,"$475,000","$493,000"
Zlatan Ibrahimovic,LAG,2018,ST,2336,7.56,"$1,500,000","$1,500,000"
Diego Valeri,POR,2013,CM,2431,7.55,"$400,000","$400,000"
Diego Valeri,POR,2016,AM,2831,7.54,"$225,000","$605,000"
David Accam,CHI,2015,W,1988,7.53,"$650,000","$720,938"
Deshorn Brown,COL,2014,ST,2451,7.52,"$75,000","$123,000"
Cristian Espinoza,SJE,2019,W,2745,7.49,"$500,000","$550,000"
Jack Elliott,PHI,2019,CB,3374,7.47,"$250,000","$265,000"
Thierry Henry,NYRB,2014,ST,2849,7.46,"$3,750,000","$4,350,000"
Bradley Wright-Phillips,NYRB,2017,ST,2745,7.45,"$1,500,000","$1,635,000"
Valeri Qazaishvili,SJE,2019,W,2318,7.44,"$1,475,004","$1,604,042"
Aleksandar Katai,CHI,2019,W,2294,7.32,"$1,260,000","$1,380,333"
Obafemi Martins,SEA,2014,ST,2784,7.31,"$1,620,000","$1,753,333"
Diego Rossi,LAFC,2019,W,3139,7.3,"$1,000,000","$1,052,000"
Dax McCarty,NYRB,2015,DM,2965,7.21,"$220,000","$262,500"
Patrick Nyarko,CHI,2013,W,2308,7.2,"$230,000","$249,500"
Michael Barrios,FCD,2018,W,2751,7.1,"$400,000","$400,000"
Will Bruin,HOU,2013,ST,2777,7.1,"$120,000","$165,000"
Sacha Kljestan,NYRB,2015,AM,3036,7.08,"$400,000","$537,500"
Justin Meram,CLB,2016,W,2758,7.07,"$175,000","$185,000"
Ola Kamara,CLB,2017,ST,3071,7.06,"$450,000","$482,500"
Javier Morales,RSL,2013,AM,2471,7.04,"$300,000","$300,000"
Fanendo Adi,POR,2016,ST,2879,7.01,"$640,000","$712,500"
Obafemi Martins,SEA,2015,ST,1947,6.96,"$2,400,000","$3,000,000"
Saphir Taïder,MTL,2018,CM,3081,6.9,"$800,000","$800,000"
Mike Magee,"LAG, CHI",2013,ST,2993,6.87,"$185,000","$191,667"
Diego Rossi,LAFC,2018,W,2826,6.81,"$1,000,000","$1,052,000"
Gyasi Zardes,CLB,2018,ST,3201,6.78,"$630,000","$630,000"
David Villa,NYC,2015,ST,2709,6.72,"$5,610,000","$5,610,000"
Michael Barrios,FCD,2019,W,3008,6.69,"$500,000","$500,000"
Mark-Anthony Kaye,LAFC,2019,CM,2735,6.68,"$166,248","$177,811"
Alberth Elis,HOU,2017,W,1779,6.68,"$423,000","$423,000"
Romell Quioto,HOU,2018,W,2442,6.67,"$240,000","$252,500"
Robbie Keane,LAG,2013,ST,2117,6.63,"$4,000,000","$4,333,333"
Daniel Royer,NYRB,2019,W,2535,6.62,"$700,000","$768,750"
Sheanon Williams,PHI,2013,FB,3107,6.6,"$105,000","$110,500"
Jonathan Osorio,TOR,2018,CM,2814,6.6,"$201,351","$209,825"
Johnny Russell,SKC,2019,W,2321,6.57,"$1,450,000","$1,450,000"
Cyle Larin,ORL,2016,ST,2648,6.55,"$135,000","$177,000"
Quincy Amarikwa,CHI,2014,ST,2726,6.53,"$60,000","$60,000"
Darwin Quintero,MIN,2019,AM,2375,6.52,"$1,750,000","$1,750,000"
Osvaldo Alonso,SEA,2014,CM,3185,6.51,"$400,000","$400,000"
Sebastian Giovinco,TOR,2018,ST,2595,6.49,"$5,600,000","$7,115,556"
Dom Dwyer,SKC,2016,ST,3061,6.45,"$500,000","$618,750"
Tony Tchani,CLB,2014,DM,3171,6.44,"$150,000","$175,000"
Valeri Qazaishvili,SJE,2018,W,2928,6.42,"$1,325,004","$1,454,042"
Mauro Manotas,HOU,2018,ST,2896,6.41,"$264,328","$264,328"
Mauro Manotas,HOU,2017,W,2258,6.41,"$215,746","$215,746"
Justin Meram,CLB,2017,W,2750,6.39,"$300,000","$328,750"
Lee Nguyen,NER,2013,CM,3074,6.39,"$73,600","$80,100"
Marcelo Sarvas,LAG,2013,CM,3090,6.38,"$157,500","$184,375"
Clint Dempsey,SEA,2017,AM,2445,6.38,"$3,200,000","$3,892,934"
Nemanja Nikolic,CHI,2017,ST,3137,6.35,"$1,700,000","$1,906,333"
Michael Bradley,TOR,2018,DM,3096,6.33,"$6,000,000","$6,500,000"
Cristian Roldan,SEA,2017,DM,3172,6.3,"$115,000","$137,000"
Lloyd Sam,NYRB,2015,W,2396,6.29,"$230,000","$240,000"
Anton Tinnerholm,NYC,2019,FB,2921,6.28,"$496,800","$546,800"
Diego Fagundez,NER,2018,AM,2873,6.28,"$170,000","$190,000"
Josef Martínez,ATL,2017,ST,1624,6.28,"$924,000","$1,041,310"
Kaká,ORL,2016,AM,2116,6.23,"$6,660,000","$7,167,500"
Felipe Gutiérrez,SKC,2019,CM,2960,6.17,"$1,600,000","$1,650,000"
C.J. Sapong,PHI,2016,ST,2720,6.13,"$225,000","$225,000"
Landon Donovan,LAG,2013,ST,2009,6.09,"$2,500,000","$2,500,000"
Alejandro Bedoya,PHI,2018,DM,3012,6.08,"$1,200,000","$1,266,250"
David Accam,CHI,2017,W,2306,6.06,"$750,000","$820,938"
Patrick Nyarko,DCU,2016,W,1950,6.05,"$210,000","$225,750"
Fanendo Adi,POR,2015,ST,2322,6.04,"$651,500","$664,000"
Pedro Morales,VAN,2014,AM,2752,6.02,"$1,190,000","$1,410,900"
Benny Feilhaber,SKC,2014,CM,2826,6.02,"$325,000","$337,188"
Diego Chara,POR,2019,DM,2911,5.99,"$550,000","$568,750"
Justin Mapp,MTL,2013,W,2315,5.99,"$125,000","$137,500"
Ryan Hollingshead,FCD,2019,FB,3288,5.99,"$175,000","$175,000"
David Accam,CHI,2016,W,2095,5.98,"$700,000","$770,938"
Przemyslaw Frankowski,CHI,2019,W,2537,5.98,"$450,000","$661,688"
Alejandro Romero Gamarra,NYRB,2019,AM,2111,5.96,"$800,000","$800,000"
Alexandru Mitrita,NYC,2019,W,2338,5.95,"$500,000","$500,000"
Leandro González Pirez,ATL,2018,CB,3026,5.95,"$650,004","$685,004"
Graham Zusi,SKC,2018,FB,3369,5.95,"$750,000","$782,102"
Javier Morales,RSL,2015,CM,2305,5.95,"$300,000","$300,000"
Darlington Nagbe,POR,2014,W,2929,5.93,"$250,000","$260,000"
Aleksandar Katai,CHI,2018,W,2628,5.93,"$1,200,000","$1,320,333"
Haris Medunjanin,PHI,2019,DM,3374,5.9,"$550,008","$595,008"
Kekuta Manneh,VAN,2015,W,2583,5.89,"$82,500","$112,000"
Jozy Altidore,TOR,2019,ST,1840,5.88,"$4,891,250","$6,332,250"
Víctor Vázquez,TOR,2017,CM,2531,5.87,"$630,000","$700,000"
Chris Pontius,PHI,2016,W,2707,5.85,"$380,000","$411,000"
Darlington Nagbe,POR,2013,W,3052,5.85,"$130,000","$266,000"
Kei Kamara,"CLB, NER",2016,ST,2864,5.83,"$1,000,000","$1,000,000"
C.J. Sapong,CHI,2019,W,2784,5.81,"$475,000","$475,000"
Federico Higuaín,CLB,2014,AM,2676,5.8,"$580,000","$744,000"
Giles Barnes,HOU,2014,ST,3264,5.8,"$230,000","$241,158"
Alejandro Romero Gamarra,NYRB,2018,AM,2594,5.79,"$709,091","$709,091"
Nicolás Lodeiro,SEA,2019,AM,2747,5.79,"$2,000,000","$2,502,500"
Yura Movsisyan,RSL,2016,ST,2323,5.78,"$200,000","$200,000"
Luciano Acosta,DCU,2017,AM,2580,5.78,"$500,000","$602,000"
Alex,HOU,2017,CM,2474,5.76,"$170,000","$170,000"
Daniel Royer,NYRB,2018,W,2205,5.76,"$600,000","$668,750"
Giovani dos Santos,LAG,2016,AM,2527,5.74,"$2,500,000","$4,250,000"
Diego Rubio,COL,2019,AM,2216,5.71,"$325,000","$353,750"
Omar González,LAG,2015,CB,2780,5.69,"$1,200,000","$1,450,000"
Diego Valeri,POR,2019,AM,2867,5.68,"$2,320,000","$2,420,000"
Ethan Finlay,CLB,2015,W,2958,5.67,"$135,000","$142,500"
Will Bruin,HOU,2014,ST,2229,5.66,"$127,500","$172,500"
Romain Alessandrini,LAG,2017,W,2631,5.66,"$1,669,401","$1,999,401"
Gyasi Zardes,CLB,2019,ST,2710,5.64,"$1,421,667","$1,471,667"
Maximiliano Urruti,FCD,2018,ST,2998,5.64,"$700,000","$781,000"
Diego Valeri,POR,2017,AM,3066,5.63,"$2,227,500","$2,607,500"
Maximiliano Moralez,NYC,2019,W,2709,5.6,"$2,000,000","$2,000,000"
Tim Cahill,NYRB,2013,CM,2403,5.58,"$3,500,000","$3,625,000"
Michael Barrios,FCD,2017,W,2773,5.57,"$200,000","$200,000"
Clint Dempsey,SEA,2014,ST,2303,5.57,"$4,913,004","$6,695,189"
Juan Manuel Martínez,RSL,2016,W,2701,5.55,"$1,060,000","$1,458,667"
Chris Wondolowski,SJE,2015,ST,2903,5.53,"$625,000","$675,000"
Javier Morales,RSL,2014,AM,2857,5.51,"$300,000","$300,000"
Nani,ORL,2019,W,2505,5.47,"$2,333,333","$2,486,250"
Mauro Díaz,FCD,2015,AM,2092,5.47,"$364,000","$442,400"
Sacha Kljestan,NYRB,2016,AM,2833,5.47,"$550,000","$687,500"
Mauro Manotas,HOU,2019,ST,2765,5.44,"$1,100,050","$1,245,050"
Florian Jungwirth,SJE,2017,CB,2782,5.43,"$450,000","$516,667"
Michael Parkhurst,CLB,2014,CB,3028,5.43,"$275,000","$300,000"
Ignacio Piatti,MTL,2015,AM,2346,5.42,"$400,000","$400,000"
Felipe,NYRB,2015,DM,3128,5.42,"$175,000","$207,500"
Lee Nguyen,NER,2014,CM,2953,5.41,"$175,000","$193,750"
Frédéric Brillant,DCU,2019,CB,3266,5.4,"$265,000","$300,000"
Osvaldo Alonso,SEA,2016,DM,3022,5.38,"$900,000","$941,667"
Cyle Larin,ORL,2015,ST,2016,5.38,"$125,000","$167,000"
Sam Nicholson,COL,2019,W,1983,5.37,"$300,000","$342,073"
Pedro Santos,CLB,2019,W,3041,5.35,"$817,560","$864,560"
Cristian Penilla,NER,2018,W,3055,5.34,"$500,000","$550,000"
Kei Kamara,VAN,2018,ST,2385,5.34,"$1,000,000","$1,000,000"
Gyasi Zardes,LAG,2014,ST,2580,5.33,"$125,000","$198,000"
Ibson,MIN,2017,DM,2873,5.32,"$200,004","$210,337"
Yoshimar Yotún,ORL,2018,DM,2156,5.32,"$549,996","$599,996"
Nigel Reo-Coker,VAN,2013,CM,3038,5.32,"$200,000","$237,363"
Alejandro Bedoya,PHI,2019,CM,3119,5.3,"$1,200,000","$1,266,250"
Diego Chara,POR,2013,DM,2965,5.29,"$200,004","$243,754"
Maurice Edu,PHI,2014,DM,3002,5.29,"$650,000","$650,000"
Chris Wondolowski,SJE,2017,ST,3255,5.29,"$800,000","$800,000"
Bastian Schweinsteiger,CHI,2018,CB,2943,5.29,"$6,100,000","$6,100,000"
Shea Salinas,SJE,2013,W,2107,5.28,"$93,975","$100,219"
Quincy Amarikwa,"CHI, SJE",2015,ST,2357,5.26,"$100,000","$100,000"
Sacha Kljestan,NYRB,2017,AM,2802,5.25,"$650,000","$787,500"
Cristián Maidana,PHI,2015,AM,2258,5.25,"$203,500","$217,250"
Eddie Segura,LAFC,2019,CB,3250,5.24,"$200,000","$224,000"
Lloyd Sam,"DCU, NYRB",2016,W,2141,5.23,"$230,000","$240,000"
Fafa Picault,PHI,2018,W,2383,5.23,"$135,000","$148,667"
Cory Burke,PHI,2018,ST,1574,5.21,"$67,500","$71,224"
Dax McCarty,NYRB,2014,CM,2868,5.21,"$200,000","$242,500"
Romain Métanire,MIN,2019,FB,2655,5.19,"$305,000","$411,833"
Amobi Okugo,PHI,2013,CB,3126,5.19,"$101,250","$184,250"
Jackson,FCD,2013,W,2528,5.19,"$144,000","$165,375"
Nicolás Lodeiro,SEA,2018,AM,2646,5.19,"$1,800,000","$2,302,500"
Darlington Nagbe,POR,2015,W,3026,5.18,"$244,000","$263,000"
Francisco Calvo,"MIN, CHI",2019,CB,2813,5.16,"$600,000","$672,600"
Erik Godoy,VAN,2019,CB,2853,5.15,"$381,818","$449,318"
Albert Rusnák,RSL,2017,AM,2782,5.15,"$825,000","$882,813"
Dax McCarty,CHI,2019,DM,3099,5.15,"$700,000","$700,000"
Julian Gressel,ATL,2019,FB,2909,5.14,"$114,250","$133,000"
Saphir Taïder,MTL,2019,CM,2980,5.12,"$1,400,000","$1,400,000"
Florian Jungwirth,SJE,2018,CM,2624,5.12,"$500,004","$566,671"
Marcelo Sarvas,LAG,2014,CM,2378,5.12,"$192,500","$192,500"
Justin Meram,CLB,2015,W,2356,5.1,"$165,000","$175,000"
Shea Salinas,SJE,2019,W,1520,5.09,"$250,000","$250,000"
Héber,NYC,2019,ST,1732,5.09,"$785,000","$788,750"
Boniek García,HOU,2013,W,2056,5.08,"$130,000","$161,250"
C.J. Sapong,PHI,2017,ST,3028,5.05,"$300,000","$300,000"
Michael Bradley,TOR,2016,DM,2329,5.04,"$6,000,000","$6,500,000"
Steven Birnbaum,DCU,2019,CB,3354,5.04,"$525,000","$550,000"
Pity Martínez,ATL,2019,W,2318,5.04,"$900,000","$900,000"
Albert Rusnák,RSL,2018,AM,2836,5.03,"$850,008","$925,821"
Cristián Maidana,PHI,2014,W,1997,5.02,"$185,000","$198,750"
Harrison Afful,CLB,2018,FB,3115,5.01,"$288,100","$363,800"
Jozy Altidore,TOR,2017,ST,2325,5.01,"$4,875,000","$4,875,000"
Héctor Villalba,ATL,2017,W,2894,5.01,"$663,000","$770,750"
Federico Higuaín,CLB,2013,ST,2788,5.0,"$440,000","$604,000"
Alvas Powell,POR,2015,FB,2925,5.0,"$60,000","$68,700"
Robbie Keane,LAG,2016,ST,1540,5.0,"$3,500,000","$3,500,000"
Dom Dwyer,SKC,2014,ST,2938,4.99,"$80,000","$92,500"
Michael Bradley,TOR,2014,CM,2367,4.98,"$6,000,000","$6,500,000"
Jordan Morris,SEA,2019,W,2206,4.98,"$499,500","$619,600"
Giles Barnes,HOU,2013,ST,2677,4.97,"$175,000","$184,188"
Kendall Waston,VAN,2018,CB,2453,4.96,"$575,000","$604,167"
Anton Tinnerholm,NYC,2018,FB,2930,4.96,"$350,000","$434,925"
Rolf Feltscher,LAG,2019,FB,2376,4.96,"$218,000","$242,650"
Sebastien Le Toux,PHI,2015,W,2547,4.96,"$275,000","$285,228"
Lamar Neagle,SEA,2014,W,2384,4.96,"$110,000","$110,000"
Federico Higuaín,CLB,2015,AM,2901,4.95,"$1,175,000","$1,175,000"
Joao Plata,RSL,2018,W,1873,4.92,"$525,000","$683,333"
Gerso,SKC,2019,W,1898,4.92,"$550,008","$550,008"
Julian Gressel,ATL,2018,FB,3214,4.92,"$92,500","$111,250"
Ethan Finlay,CLB,2016,W,2650,4.91,"$250,000","$250,000"
Cristian Roldan,SEA,2019,DM,2784,4.9,"$460,000","$596,542"
Juan Agudelo,NER,2016,ST,1457,4.9,"$425,000","$452,500"
Kelyn Rowe,NER,2016,W,3002,4.89,"$160,000","$241,000"
Lee Nguyen,NER,2015,AM,2899,4.88,"$175,000","$193,750"
Jozy Altidore,TOR,2016,ST,1608,4.87,"$4,825,000","$4,825,000"
Benny Feilhaber,SKC,2016,CM,2771,4.87,"$400,000","$412,188"
Yordy Reyna,VAN,2018,ST,2049,4.85,"$440,000","$533,700"
Héctor Villalba,ATL,2018,W,1919,4.82,"$663,000","$770,750"
Mauro Díaz,FCD,2016,AM,2305,4.82,"$466,000","$562,890"
Wayne Rooney,DCU,2019,ST,2542,4.82,"$3,500,000","$3,507,500"
Dominique Badji,"COL, FCD",2018,ST,2111,4.8,"$162,500","$168,750"
Haris Medunjanin,PHI,2018,DM,2727,4.8,"$500,004","$545,004"
Dax McCarty,CHI,2017,DM,2641,4.8,"$400,000","$412,500"
Uriel Antuna,LAG,2019,W,2610,4.8,"$420,000","$420,000"
Chris Wondolowski,SJE,2013,ST,2826,4.79,"$550,000","$600,000"
Michael Bradley,TOR,2015,AM,2419,4.78,"$6,000,000","$6,500,000"
Ned Grabavoy,RSL,2013,CM,2926,4.78,"$155,000","$161,667"
Blerim Dzemaili,MTL,2017,CM,2079,4.77,"$750,000","$750,000"
Magnus Eriksson,SJE,2019,AM,3066,4.77,"$450,000","$450,000"
Roger Espinoza,SKC,2018,CM,3079,4.77,"$900,000","$900,000"
Lamar Neagle,SEA,2013,ST,2596,4.76,"$48,400","$48,400"
Dominic Oduro,"TOR, CLB",2014,W,2273,4.76,"$250,000","$251,667"
Fredy Montero,VAN,2017,ST,2640,4.76,"$1,400,000","$1,800,000"
Chris Wondolowski,SJE,2019,ST,2197,4.76,"$800,000","$800,000"
Raúl Ruidíaz,SEA,2019,ST,1959,4.74,"$2,000,004","$2,000,004"
Chris Tierney,NER,2015,FB,2814,4.74,"$110,000","$113,333"
Sean Davis,NYRB,2018,DM,2796,4.72,"$225,000","$261,667"
Graham Zusi,SKC,2013,W,2565,4.72,"$350,000","$383,250"
Leandro González Pirez,ATL,2017,CB,3034,4.71,"$250,008","$285,008"
Sean Franklin,DCU,2015,FB,2256,4.71,"$202,500","$234,167"
Ricardo Clark,HOU,2013,AM,2695,4.71,"$274,000","$307,750"
Roland Lamah,FCD,2018,W,2035,4.71,"$675,000","$818,500"
Gyasi Zardes,LAG,2013,W,2324,4.7,"$100,000","$173,000"
Shea Salinas,SJE,2015,W,2808,4.69,"$145,000","$148,333"
Robbie Keane,LAG,2015,ST,2218,4.69,"$4,500,000","$4,500,000"
Danny Hoesen,SJE,2018,ST,2682,4.69,"$465,000","$518,000"
Jefferson Savarino,RSL,2018,W,3117,4.69,"$375,000","$398,688"
Matt Besler,SKC,2015,CB,3052,4.69,"$650,000","$683,250"
Latif Blessing,LAFC,2018,W,2006,4.67,"$75,000","$84,375"
Ilie Sánchez,SKC,2018,DM,3369,4.67,"$325,008","$330,008"
Andrew Wenger,"MTL, PHI",2014,W,2304,4.67,"$140,000","$242,000"
Luke Moore,"CHV, TOR",2014,ST,2349,4.67,"$120,000","$128,333"
Maximiliano Moralez,NYC,2017,CM,2707,4.67,"$2,000,000","$2,000,000"
Kei Kamara,NER,2017,ST,2542,4.67,"$800,000","$800,000"
Juninho Pereira,LAG,2015,CM,3054,4.66,"$350,000","$350,000"
Dom Dwyer,ORL,2018,ST,2438,4.65,"$1,200,000","$1,383,333"
Kaká,ORL,2015,AM,2614,4.65,"$6,660,000","$7,167,500"
Dominique Badji,COL,2017,ST,2738,4.65,"$65,000","$65,000"
Juan Agudelo,NER,2019,ST,2145,4.64,"$575,000","$605,000"
Fabian Castillo,FCD,2013,W,2342,4.63,"$60,000","$66,250"
Matt Hedges,FCD,2014,CB,3036,4.63,"$120,000","$120,000"
Patrick Mullins,"DCU, NYC",2016,ST,1386,4.63,"$96,250","$126,250"
Andre Shinyashiki,COL,2019,W,1867,4.62,"$85,000","$95,000"
Bobby Boswell,DCU,2015,CB,3216,4.61,"$200,000","$200,000"
Alejandro Pozuelo,TOR,2019,AM,2734,4.61,"$3,800,000","$3,800,000"
Tony Tchani,CLB,2015,DM,2994,4.58,"$170,000","$195,000"
Benoit Cheyrou,TOR,2015,CM,2575,4.57,"$250,000","$259,333"
Leandro González Pirez,ATL,2019,CB,2938,4.57,"$775,008","$810,008"
Marco Di Vaio,MTL,2014,ST,1894,4.55,"$1,500,000","$2,600,000"
Víctor Vázquez,TOR,2018,CM,1535,4.53,"$1,365,000","$1,500,000"
Marco Pappa,SEA,2014,W,2045,4.53,"$75,000","$75,000"
Chris Wondolowski,SJE,2016,ST,2911,4.52,"$650,000","$700,000"
Will Bruin,HOU,2015,ST,2563,4.52,"$140,000","$185,000"
Dom Dwyer,ORL,2019,ST,1789,4.52,"$1,320,000","$1,503,333"
Paul Arriola,DCU,2019,W,2659,4.51,"$675,000","$707,000"
Luciano Acosta,DCU,2016,CM,2242,4.51,"$327,273","$429,273"
Michael Parkhurst,CLB,2015,CB,3119,4.5,"$275,000","$300,000"
Lee Nguyen,NER,2016,AM,3114,4.49,"$500,000","$500,000"
Diego Chara,POR,2015,DM,2665,4.47,"$170,000","$170,000"
Matt Besler,SKC,2018,CB,3021,4.47,"$750,000","$783,250"
Darlington Nagbe,POR,2016,W,2618,4.47,"$500,000","$515,000"
Kendall Waston,VAN,2015,CB,2690,4.46,"$225,000","$226,250"
Romain Alessandrini,LAG,2018,W,2059,4.45,"$1,539,996","$1,869,996"
Cristian Pavón,LAG,2019,W,1052,4.45,"$1,200,000","$1,200,000"
Brian Fernández,POR,2019,ST,1575,4.45,"$1,200,000","$1,275,800"
Francisco Calvo,MIN,2018,CB,2563,4.45,"$450,000","$522,600"
Diego Valeri,POR,2015,AM,1820,4.41,"$550,000","$550,000"
Benny Feilhaber,SKC,2015,CM,2944,4.41,"$350,000","$362,188"
Jack Harrison,NYC,2017,W,2938,4.39,"$130,000","$165,500"
Octavio Rivero,VAN,2015,ST,2962,4.39,"$890,850","$890,850"
Kelyn Rowe,NER,2015,W,2092,4.39,"$140,000","$221,000"
Marco Di Vaio,MTL,2013,ST,2948,4.38,"$1,000,008","$1,937,508"
Sebastian Giovinco,TOR,2017,ST,2209,4.38,"$5,600,000","$7,115,556"
Juninho Pereira,LAG,2013,CM,2971,4.38,"$290,000","$290,000"
Paul Arriola,DCU,2018,W,2366,4.38,"$625,000","$664,000"
Brad Davis,HOU,2014,W,2191,4.37,"$345,000","$392,063"
Cyle Larin,ORL,2017,ST,2354,4.34,"$150,000","$192,000"
David Villa,NYC,2018,ST,1878,4.33,"$5,610,000","$5,610,000"
Tranquillo Barnetta,PHI,2016,AM,2490,4.33,"$650,000","$709,100"
Jan Gregus,MIN,2019,DM,2925,4.33,"$750,000","$883,500"
Wil Trapp,CLB,2017,DM,3278,4.32,"$300,000","$350,000"
Diego Chara,POR,2018,DM,2632,4.32,"$550,000","$572,000"
Cristian Penilla,NER,2019,W,1969,4.32,"$500,000","$550,000"
Angelo Rodríguez,MIN,2019,ST,1914,4.31,"$600,000","$667,188"
Valentín Castellanos,NYC,2019,ST,2270,4.31,"$250,000","$274,806"
Boniek García,HOU,2014,CM,2374,4.3,"$199,992","$258,742"
Kelyn Rowe,NER,2013,CM,2765,4.3,"$90,000","$171,000"
Jordan Morris,SEA,2017,ST,1894,4.27,"$225,000","$237,500"
Matías Pérez García,SJE,2015,CM,2145,4.27,"$240,000","$240,000"
Matt Hedges,FCD,2019,CB,3208,4.26,"$550,008","$575,008"
Mix Diskerud,NYC,2015,CM,2222,4.26,"$750,000","$750,000"
Sebastien Le Toux,PHI,2014,W,2203,4.26,"$250,000","$262,813"
Wil Trapp,CLB,2018,DM,2856,4.25,"$500,004","$550,004"
Camilo Sanvezzo,VAN,2013,W,2591,4.23,"$210,000","$247,500"
Aníbal Godoy,SJE,2018,CM,2537,4.23,"$425,000","$473,125"
Jonathan dos Santos,LAG,2019,DM,2773,4.22,"$2,000,000","$2,000,000"
Albert Rusnák,RSL,2019,AM,2666,4.21,"$1,800,000","$2,001,667"
Marco Delgado,TOR,2019,CM,2774,4.19,"$253,000","$253,000"
Danny Hoesen,SJE,2019,ST,1693,4.19,"$500,000","$549,667"
Paxton Pomykal,FCD,2019,AM,2089,4.17,"$100,000","$105,000"
Osvaldo Alonso,SEA,2017,DM,2232,4.16,"$1,100,000","$1,141,667"
Jamiro Monteiro,PHI,2019,CM,2254,4.16,"$618,000","$671,200"
C.J. Sapong,PHI,2015,ST,2056,4.15,"$125,000","$142,000"
Juninho Pereira,LAG,2014,CM,2948,4.15,"$325,000","$325,000"
Kevin Molino,ORL,2016,W,2505,4.15,"$110,000","$121,400"
Lucas Melano,POR,2016,W,2445,4.15,"$760,000","$980,000"
Guram Kashia,SJE,2019,CB,2113,4.15,"$590,000","$590,000"
Darlington Nagbe,ATL,2019,CM,3075,4.15,"$665,500","$665,500"
Alexander Ring,NYC,2019,CM,3107,4.14,"$850,000","$945,000"
Wil Trapp,CLB,2014,DM,2673,4.13,"$125,000","$152,000"
Alejandro Bedoya,PHI,2017,DM,2693,4.13,"$1,131,000","$1,197,250"
Fabián Espíndola,NYRB,2013,ST,2188,4.12,"$150,000","$150,000"
